Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Ieysaa Bin-Suhayl,129.5,1,45.06,7,1.5,132.8,1.06,2231,1906,308,3,4,24.37,17.6,0.56,62.27,-1.51,0.94,1.03,135.4,125.1,1,0.5,6.97,309.77,0.32,3878.07
Egemen Gulden,127.7,0.99,97.35,7,2,140.6,0.69,2052,2013,253,3,4,13.2,39.09,1,157.89,-1.61,1.03,0.96,125.2,129.5,1,1,6.94,1528.21,0.99,24929.61
Can Yardimci,126.3,1.41,93.49,7,5,143.5,1.38,1958,2022,344,4,3,17.45,32.91,0.79,122.15,-1.69,1.09,1.83,135.2,114.4,3,2,9.85,1082.88,0.62,14920.38
Atakan Akkaya,120.8,1.21,154.54,7,2,115.3,1.22,2010,2045,245,4,3,30.52,29.3,0.92,167.85,-1.98,1.17,1.26,122.6,118.3,1.5,0.5,8.46,858.59,0.85,28172.41
Ali Tutuncu,120,1.21,82.53,7,1.5,123.5,0.95,2097,1983,282,3,4,26.06,33.01,0.89,108.11,-2.02,0.69,1.6,140.4,104.7,1,0.5,8.44,1089.51,0.8,11687.27
Yagiz Kasim Atlihan,119,1.53,118.67,7,4.5,140.8,1.25,1660,1757,339,3,4,23.69,61.88,1.49,132.8,-2.08,1.99,1.18,96.2,136,2,2.5,10.7,3828.59,2.21,17635.66
Bulgankhan Ganzorig,117.8,1.61,26.37,7,3.5,123.8,1.93,2021,2193,359,3,4,26.39,33.11,0.74,14.65,-2.14,1.23,1.9,143.2,98.7,2.5,1,11.27,1096.08,0.55,214.54
Pavel Pavlovskiy,109.8,1.41,88.46,7,1.5,116.4,1.16,2136,1999,290,2,5,33,61.21,1.64,106.95,-2.58,0.35,1.83,146.5,95.1,0.5,1,9.85,3746.58,2.69,11438.38
Kivanc Karaoglan,109.5,1.46,62.51,7,2,114.7,1.18,2237,1996,385,3,4,7.02,52.26,1.5,126.61,-2.59,1.05,1.78,125.7,97.4,1.5,0.5,10.24,2730.86,2.24,16028.94
Necmettin Korkmaz,97.4,1.76,116.95,7,2.5,81.6,2.14,2059,2102,360,4,3,38.26,50.89,1.54,126.92,-3.24,1.85,1.64,96.2,99,1.5,1,12.33,2590.27,2.36,16107.85
Mert Yilmazyerli,154.9,0.42,7.26,6,3.5,157.7,0.42,2515,2315,271,3,3,7.67,5.6,0.39,5.51,-0.15,0.55,0.29,153.3,156.4,1.5,2,2.54,31.31,0.15,30.34
