Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Ruzgar Odabasi,145.4,0.82,22.52,6,1,147.4,0.8,2255,2116,233,3,3,24.58,8.24,0.33,5.9,-0.66,1.12,0.52,142.9,147.9,1,0,4.94,67.95,0.11,34.81
Sofia Pogorelskikh,145.4,1.12,31.16,14,6.5,139.4,1.02,2297,2286,588,7,7,20.97,14.5,0.51,24.8,-0.66,1.17,1.07,146.4,144.3,4,2.5,15.72,210.2,0.27,614.85
Ayan Allahverdiyeva,145.3,1.13,15.55,14,6.5,146.6,1.02,2234,2239,546,7,7,18.39,16.8,0.56,25.97,-0.66,1.27,0.99,143.3,147.2,3.5,3,15.79,282.36,0.31,674.36
Kemal Yildirim,145.1,0.92,20.79,10,2.5,146.7,0.7,2089,2153,387,6,4,19.38,18.5,0.86,15.55,-0.67,0.59,1.42,152.8,133.6,2,0.5,9.23,342.27,0.73,241.66
Emirhan Tarlabasi,144.4,1.21,26.99,14,7,144.5,0.91,2311,2302,643,8,6,22.08,21.54,1.04,27.27,-0.71,0.86,1.67,153.2,132.7,5,2,16.9,464.15,1.08,743.46
Klaudia Kulon,144,1.16,20.9,14,6,142.2,1.13,2389,2248,702,7,7,23.48,15.84,0.87,12.26,-0.73,1.3,1.03,140.1,147.8,2.5,3.5,16.27,251.03,0.75,150.29
Umut Anil Dogan,143.5,1.21,36.3,10,4.5,145.8,1.23,2076,2305,604,5,5,18.34,20.33,0.75,44.4,-0.76,1.17,1.24,146.9,140.2,3,1.5,12.07,413.38,0.56,1971.77
Kaan Ozcan,142.5,1.17,22.62,14,5,146.4,0.96,2223,2226,613,6,8,21.64,22.08,1.12,8.54,-0.81,1.32,1.06,143.9,141.4,3.5,1.5,16.39,487.63,1.25,72.99
Can Dolgun,142.2,0.97,42.73,14,2,139.5,1.03,2240,2060,731,5,9,29.76,13.55,0.56,49.45,-0.82,1.12,0.88,138.7,144.2,0.5,1.5,13.55,183.71,0.32,2444.88
Raunak Sadhwani,141.8,1.46,17.97,9,5.5,150.6,0.88,2676,2501,454,4,5,18,29.95,1.55,8.89,-0.85,1.55,1.4,140.5,142.8,2.5,3,13.17,896.71,2.4,79.11
Kerem Tinmaz,141.6,1.14,25.12,9,2.5,146.7,0.9,2054,2226,350,4,5,25.25,14.54,0.81,11.18,-0.86,0.64,1.53,148,136.6,0.5,2,10.24,211.34,0.65,125.06
Demhat Zerey,141.6,1.18,19.19,14,4.5,143.5,0.91,2210,2156,674,7,7,16.6,18.09,0.75,10.94,-0.86,1.05,1.32,147.4,135.8,3.5,1,16.56,327.19,0.56,119.66
Necmettin Korkmaz,141.4,0.87,32.17,6,0,145.8,0.64,2060,1923,269,4,2,36.25,7.34,0.4,13.83,-0.87,0.82,0.97,142.3,139.6,0,0,5.23,53.95,0.16,191.23
Nurgyul Salimova,141.4,1.43,22.4,9,5,140.3,1.25,2385,2376,512,3,6,15.59,24.69,1.32,20.04,-0.87,1.24,1.52,140.9,141.6,1,4,12.86,609.83,1.74,401.4
Ataberk Eren,139.9,1.25,8.77,10,3,140.6,0.92,2427,2298,498,3,7,13.63,30.25,1.5,20.21,-0.95,0.04,1.77,169.2,127.4,2,1,12.52,915.18,2.24,408.4
Eymen Eren Buyuk,139.2,1.22,26.35,11,2.5,145.6,1.02,2189,2150,614,5,6,27.68,17.5,0.95,17.2,-0.99,0.89,1.49,142.9,136,0.5,2,13.39,306.4,0.91,295.83
Demre Kerigan,138.7,1.38,42.39,7,2.5,143.4,1.44,2370,2287,339,2,5,25.15,16.12,0.74,57.19,-1.02,1.45,1.35,140,138.2,1,1.5,9.63,259.87,0.54,3271.16
Hasan Atis,138,1.34,24.46,14,4,139.4,0.98,2104,2176,665,7,7,21.76,20.73,1.14,12.52,-1.05,1.14,1.54,143,133.1,2.5,1.5,18.76,429.77,1.29,156.83
Narmin Mammadova,137,1.39,12.85,14,4,140.8,1.23,2220,2121,630,6,8,22.25,18.85,0.94,39.31,-1.11,1.38,1.4,138,136.2,2,2,19.51,355.22,0.89,1545.51
Hatice Asli Mustu,133.7,1.5,23.09,7,1.5,135.5,1.19,2039,2061,372,3,4,21.82,19.94,1,13.98,-1.29,2.06,1.08,122.5,142.1,0.5,1,10.5,397.53,1,195.4
Timur Yonal,132.7,1.54,30.09,10,2,137.4,1.08,2046,2085,549,4,6,31.31,24.8,1.27,30.18,-1.34,1.89,1.31,127.2,136.4,1,1,15.4,614.84,1.6,910.91
Aybike Kucuk,128.5,1.71,34.44,7,1,139.9,1.3,1883,1942,428,4,3,27.88,29.42,1.53,21.18,-1.57,2.28,0.96,120,139.7,1,0,11.98,865.81,2.34,448.48
Can Baylav,124.4,1.95,33.87,6,1,127.4,2.13,2074,2057,312,3,3,34.52,22.93,1.2,18.53,-1.79,2.84,1.07,111.1,137.8,1,0,11.72,525.74,1.45,343.43
