Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Marco Gallana,128.5,1.26,24.14,10.0,3.5,130.6,1.19,2280,2388,391,6,4,23.6,23.01,0.78,12.63,-1.56,1.19,1.36,129.2,127.6,2.0,1.5,12.55,529.38,0.61,159.47
Keti Tsatsalashvili,128.4,1.2,18.65,3.0,2.0,157.9,0.26,2202,2421,133,2,1,7.94,52.05,1.65,20.2,-1.57,1.66,0.26,113.6,157.9,1.5,0.5,3.59,2709.31,2.72,407.93
Miaoyi Lu,128.4,1.23,110.01,12.0,7.5,139.8,1.16,2124,2180,491,6,6,22.9,32.71,0.92,168.53,-1.58,1.57,0.9,112.3,144.4,2.5,5.0,14.81,1070.25,0.84,28403.05
Thomas Villiers,128.3,1.04,145.64,10.0,2.0,129.8,0.88,2126,2157,497,4,6,191.9,24.71,0.6,116.06,-1.58,0.76,1.22,137.6,122.0,1.0,1.0,10.37,610.51,0.36,13470.85
Eric Hansen,128.2,1.34,43.78,12.0,7.0,138.8,1.12,2549,2517,464,6,6,21.01,38.24,1.23,75.01,-1.58,1.15,1.53,132.9,123.5,4.0,3.0,16.05,1462.14,1.51,5627.2
Darmen Dauren,128.1,1.13,25.69,3.0,1.0,134.6,0.62,1943,1809,149,2,1,25.39,11.43,0.89,11.83,-1.59,1.39,0.62,124.8,134.6,1.0,0.0,3.4,130.69,0.79,139.9
Robert Kohlmann,127.9,1.05,72.48,11.0,2.0,133.0,0.86,2026,2196,305,6,5,34.71,26.49,0.65,129.85,-1.6,0.95,1.18,133.9,120.8,1.0,1.0,11.6,701.91,0.42,16860.72
Nodirbek Yakubboev,127.7,1.39,47.23,6.0,3.0,130.3,1.41,2563,2554,346,3,3,15.52,34.23,1.28,77.89,-1.61,0.61,2.17,149.7,105.8,2.0,1.0,8.34,1171.54,1.64,6066.19
Lukasz Turlej,127.4,0.86,29.24,1.0,0.0,127.4,0.86,2009,2093,42,0,1,29.24,0.0,0.0,0.0,-1.63,,0.86,,127.4,0.0,0.0,0.86,0.0,0.0,0.0
Patryk Cieslak,127.4,1.38,61.08,14.0,9.5,137.7,1.36,2324,2324,650,8,6,35.52,33.55,0.99,92.31,-1.63,1.18,1.65,134.0,118.4,6.0,3.5,19.34,1125.55,0.97,8521.61
Khuyagtsogt Itgelt,127.3,1.57,28.62,12.0,10.0,133.2,1.6,2272,2570,588,6,6,20.17,26.97,0.98,21.04,-1.63,1.4,1.73,132.9,121.7,5.5,4.5,18.79,727.27,0.95,442.65
Mei-En Emmanuelle Hng,127.3,1.29,146.2,13.0,8.5,124.6,0.94,2062,2182,479,6,7,59.18,30.98,0.98,143.01,-1.63,0.75,1.75,146.5,110.8,5.0,3.5,16.74,959.76,0.95,20451.09
Islam Aiten,127.2,1.24,153.09,22.0,16.0,155.0,0.97,1929,1965,876,11,11,25.33,44.99,1.31,217.19,-1.64,1.03,1.46,137.6,116.8,10.0,6.0,27.34,2023.97,1.71,47171.47
Anuar Ismagambetov,127.0,1.85,28.64,1.0,1.0,127.0,1.85,2485,2352,47,0,1,28.64,0.0,0.0,0.0,-1.65,,1.85,,127.0,0.0,1.0,1.85,0.0,0.0,0.0
Mikkel Manosri Jacobsen,126.8,1.45,79.6,12.0,6.5,133.6,1.15,2254,2396,446,6,6,35.78,29.97,1.16,106.37,-1.66,1.42,1.47,129.2,124.3,4.5,2.0,17.34,898.27,1.34,11313.84
Gennadie Slavin,126.8,1.07,74.55,11.0,4.0,140.9,0.78,2207,2164,396,8,3,35.77,38.6,0.95,100.94,-1.66,1.0,1.26,128.2,122.9,3.0,1.0,11.78,1490.06,0.9,10188.22
