Player,avg_missed_points,avg_gi,avg_missed_points,TPR,total_game_count,Points,gi_median,missed_points_median,Elo,,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Sivanandan Velayutham,1.26,112.7,1.26,1272,13,0.5,126.2,0.85,0,,382,7,6,43.65,23.85,0.74,156.55,-2.42,1.02,1.54,120.1,104,0,0.5,16.32,568.86,0.54,24507.1
Aziz Degenbaev,1.65,112.6,1.65,2225,10,4,118,1.48,2235,,508,5,5,42.2,33.47,0.95,98.39,-2.43,1.12,2.19,125.9,99.2,2,2,16.54,1120.37,0.91,9681.16
Mei-Xian Eunice Hng,1.48,112.5,1.48,1948,12,4,117.8,1.16,2069,,487,6,6,34.02,46.84,1.21,141.08,-2.43,1.67,1.28,105.3,119.7,2,2,17.72,2194.27,1.45,19904.63
Dion Krivenko,1.52,112.3,1.52,2199,12,3,133.6,0.88,2217,,582,5,7,43.4,57.17,1.63,101.42,-2.44,1.14,1.8,122.2,105.3,0.5,2.5,18.29,3267.92,2.65,10285.18
Avyukt Dasgupta,1.73,112.2,1.73,2208,12,4.5,118.2,1.22,2064,,596,4,8,104.6,36.98,1.07,165.05,-2.45,2.26,1.47,91.9,122.3,1,3.5,20.81,1367.47,1.15,27242.36
Saahil Bansal,1.46,112.2,1.46,1957,12,1.5,123,1.06,1842,,498,5,7,48.45,46.07,1.36,213.45,-2.45,1.59,1.3,107.2,115.7,1.5,1.5,17.04,2122.64,1.85,45560.66
Sofia Blokhin,1.42,112.2,1.42,2092,12,3,120,1.18,1980,,460,7,5,117.77,40.88,1.12,206.21,-2.45,1.72,1.09,104.6,122.7,1.5,0,17.47,1671.16,1.27,42521.33
Wojciech Smolinski,1.5,112.1,1.5,1667,15,6,112,1.39,1800,,679,8,7,42.71,36.75,0.87,131.22,-2.45,1.44,1.56,115.1,108.6,4,2,22.45,1350.64,0.75,17219.72
Davaademberel Nomin-Erdene,1.88,112,1.88,2257,12,6,118.2,1.66,2253,,641,6,6,46.25,36.31,0.97,183.15,-2.46,1.7,2.06,114.1,110,2.5,3.5,22.55,1318.15,0.94,33545.15
Aleyna Demir,1.36,111.4,1.36,1559,12,2,118.4,1.06,1633,,430,6,6,280.9,39.93,0.96,181.99,-2.49,1.31,1.42,117.6,105.1,2,0,16.38,1594.08,0.93,33118.6
Yuliia Osmak,1.86,111.3,1.86,2289,16,10.5,125.1,1.82,2284,,721,9,7,44.72,45.78,1.23,101.98,-2.49,1.68,2.09,122.1,97.4,8,2.5,29.75,2095.72,1.52,10398.9
Theo Phulpin,1.61,111.1,1.61,1464,14,5,118,1.36,1773,,573,7,7,252.24,40.52,1.09,156.99,-2.51,1.73,1.5,114.5,107.6,4,1,22.6,1641.8,1.19,24644.74
Yifan Hou,1.83,111,1.83,2316,10,6,105.1,1.81,2522,,571,5,5,64.12,38.27,0.95,174.64,-2.51,1.84,1.83,116.9,105.1,3.5,2.5,18.33,1464.92,0.91,30500.04
Arthur Kendall,1.6,110.9,1.6,1830,10,5,107.6,1.55,1783,,482,5,5,40.94,48.05,1.19,143.35,-2.52,1.16,2.03,129.1,92.7,3.5,1.5,15.96,2308.54,1.42,20548.65
Emily Maton,1.72,110.8,1.72,1807,13,8.5,113.1,1.34,1923,,660,7,6,58.24,43.37,1.41,175.18,-2.52,1.94,1.46,101.1,122.2,4.5,4,22.31,1881.29,2,30686.63
Mikkel Vinh Loftgaard,1.88,110.7,1.88,2287,12,6.5,122.6,1.56,2145,,673,6,6,37.99,41.34,1.1,86.87,-2.53,1.52,2.24,129.9,91.5,5,1.5,22.62,1708.66,1.21,7547.01
Harry Bryant,1.72,110.2,1.72,2162,12,3,112.5,1.5,2053,,496,7,5,225.88,23.22,0.74,216.85,-2.55,1.8,1.61,103,120.3,1,2,20.63,539.39,0.55,47024.4
Julia Ostensson,1.47,110.2,1.47,1871,13,3,115.4,1.28,1866,,437,7,6,40.41,28.89,0.81,152.07,-2.55,1.19,1.81,121.1,97.4,2,1,19.16,834.76,0.66,23126.64
Rebekka Schuster,1.44,109.9,1.44,1590,12,2.5,112.2,1.23,1842,,321,6,6,55.31,37.46,0.98,170.11,-2.57,1.39,1.48,114,105.7,2,0.5,17.24,1403.11,0.97,28938.35
Lara Schulze,1.49,109.8,1.49,2094,12,3.5,120,1.18,2224,,532,7,5,145.08,49.89,1.49,175.24,-2.58,1.48,1.52,112.2,106.4,2.5,1,17.93,2488.94,2.21,30709.19
Andreea Navrotescu,1.61,109.5,1.61,2124,12,3.5,112,1.88,2166,,563,7,5,39.83,42.41,1.24,83,-2.59,1.78,1.37,104.4,116.7,1.5,2,19.32,1798.75,1.53,6888.35
Gesneria-Codruta Cepoi,1.59,109.2,1.59,1520,8,3,114.2,1.39,1733,,424,3,6,30.25,49.9,1.38,92.08,-2.61,2.5,1.07,77.2,125.2,1,3,13.92,2489.92,1.9,8478.6
Ali Mortazavi,1.55,109.2,1.55,2163,9,4,119.4,1.85,2339,,384,4,4,192.79,51.6,1.31,186.38,-2.61,1.27,1.91,119.9,98.5,1,2,12.73,2662.8,1.73,34735.84
Stephen Dishman,1.66,109.1,1.66,2065,12,2,124.9,1.1,2176,,569,6,6,35.18,44.51,1.31,177.85,-2.62,1.59,1.74,115.2,103,1.5,0.5,19.97,1981.22,1.71,31632.02
Chen Zhu,2.05,108.5,2.05,2242,13,9,121.7,1.8,2276,,692,7,6,48.13,49.84,1.39,147.89,-2.65,2.27,1.81,104.3,113.4,5.5,3.5,26.7,2483.84,1.93,21872.19
Andrew Hong,2.19,108.4,2.19,2548,14,8,115.6,2.12,2501,,798,7,7,31.32,33.81,1,59,-2.65,2.67,1.71,95.1,121.7,3.5,4.5,30.65,1142.88,1,3481.41
Leonid Volkov,1.86,108.4,1.86,1907,12,7.5,129.2,1.42,1885,,487,6,6,40.08,58.99,1.51,115.99,-2.65,1.44,2.28,120,96.8,3.5,4,22.34,3480.16,2.28,13452.76
Rock Yu,1.92,108.3,1.92,2312,9,4.5,112.5,1.39,1968,,409,7,2,31.71,39.46,1.32,118.32,-2.65,1.96,1.76,106.3,115.4,2.5,2,17.26,1557.11,1.74,14000.52
Sumiya Chinguun,1.67,108.2,1.67,2286,12,3,133.7,1.02,2332,,570,6,6,103.04,52.06,1.63,190.72,-2.66,1.53,1.82,115.2,101.1,3,0,20.09,2710.16,2.67,36375.81
Konstantin Mesropov,1.98,107.8,1.98,2398,11,7.5,138.4,1.35,2334,,560,6,5,40.63,63.76,1.76,124.24,-2.69,1.12,3.02,131.5,79.2,3.5,4,21.81,4064.75,3.08,15434.9
Meri Grigoryan,1.58,107.2,1.58,1869,12,2,112.2,1.4,1951,,525,8,4,36.88,51.16,1.56,94.86,-2.72,2.08,0.59,92.8,136.1,2,0,19,2617.78,2.45,8998.29
Luca Platschek,1.79,107.1,1.79,1859,12,6.5,120.8,1.34,1746,,467,6,6,30.08,64.09,1.48,148.17,-2.72,1.05,2.54,144.1,70.1,5,1.5,21.52,4108.08,2.2,21954.87
Moses Andiwoh,1.53,107.1,1.53,1818,13,1,128.1,1.2,1798,,459,7,6,41.08,40.87,1.09,121.36,-2.72,1.6,1.44,102.1,112.9,0,1,19.86,1670.51,1.2,14728.92
Elizabeth Ivanov,1.64,106.6,1.64,1778,12,4.5,154.6,1.08,1791,,508,7,5,33.17,73.73,1.84,155.82,-2.75,1.92,1.26,95.3,122.3,2.5,2,19.72,5435.66,3.4,24279.36
Georgiana-Steluta Morea,1.68,106.5,1.68,1661,12,6,115.2,1.27,1919,,574,7,6,236.47,39.71,1.21,215.67,-2.75,2.31,0.83,87.8,128.3,3,1,21.16,1577.24,1.45,46511.45
Sarah Sima Derlich,1.63,106.5,1.63,1944,13,4,117.7,1.09,1934,,506,6,6,36.04,55.01,1.41,287.36,-2.75,1.65,1.71,111.9,101.1,4,2,20.15,3026.61,2,82576.69
Sabrican Onay Yontar,1.77,106.3,1.77,1832,13,5.5,108.3,1.84,1926,,578,5,8,49.35,43.01,1.41,97.41,-2.76,1.47,1.96,125.3,94.5,3,2.5,23.05,1850.06,1.99,9488.68
Andre Kunz,1.67,105.8,1.67,1964,12,1.5,116.7,1.62,2093,,492,6,6,37.67,32.83,0.85,140.63,-2.79,1.96,1.37,96.4,115.2,1.5,0,20,1077.96,0.73,19777.83
Zoe Veselow,1.64,105.3,1.64,1538,12,3.5,104.6,1.92,1637,,578,6,6,43.04,36.53,0.92,241.75,-2.82,1.41,1.87,116,94.7,2.5,1,19.69,1334.57,0.85,58440.85
Matthew Dishman,1.74,105.2,1.74,2002,12,4.5,125,1.25,1949,,475,6,6,35.08,58.33,1.8,195.67,-2.82,1.66,1.81,103.3,107.2,2,2.5,20.85,3402.41,3.23,38285.98
Murat Emre Kalender,1.63,105.2,1.63,1890,11,2,115,1.25,1723,,475,5,6,207.31,34.52,1.05,153.36,-2.82,1.49,1.74,110.7,100.7,1,1,17.93,1191.78,1.1,23517.92
Elliot McCallum,1.8,105.1,1.8,1830,12,6,108.4,1.72,1747,,513,6,5,171.59,37.41,1.15,229.6,-2.83,1.78,1.51,104.6,105.8,1.5,0,18.25,1399.42,1.32,52715.62
Oleg Verbytski,1.66,105.1,1.66,2047,11,1.5,95,1.71,2081,,602,6,6,40.75,39.81,1.22,58.09,-2.83,2.47,1.12,88.1,122,4,2,21.57,1584.53,1.49,3374
Sami Mortazavi,1.55,103.3,1.55,1541,12,1.5,101.4,1.52,1811,,478,5,7,43.16,40.61,1.18,201.71,-2.92,1.41,1.65,112.8,96.6,1,0.5,18.64,1649.27,1.39,40685.49
Qianyun Gong,2.01,102.9,2.01,2158,15,8.5,110.6,1.55,2140,,725,7,8,41.75,46.01,1.34,148.31,-2.95,1.67,2.3,109.9,96.8,3.5,5,30.12,2116.48,1.78,21995.97
Tunahan Makaraci,1.79,102.9,1.79,2136,12,2.5,104.6,1.66,2165,,566,6,6,125.74,41.89,1.24,185.37,-2.95,1.8,1.78,100.5,105.4,2,0.5,21.49,1754.53,1.53,34360.77
Kameron Grose,1.76,102.5,1.76,1735,12,4.5,112.4,1.23,1822,,572,6,6,43.87,48.55,1.47,165.31,-2.97,1.81,1.72,104.9,100.1,3.5,1,21.18,2356.93,2.17,27326.31
Remy Rushbrooke,1.7,102.4,1.7,1865,8,1,103.2,1.58,1984,,282,4,4,37.06,31.27,0.97,149.72,-2.98,1.2,2.2,117.1,87.7,0,1,13.6,977.94,0.95,22416.81
Platon Kiritshenko,1.89,102,1.89,1769,12,7.5,119.7,1.42,1749,,688,5,7,39.35,58.85,1.67,206.72,-3,1.62,2.09,101.2,102.5,1.5,6,22.74,3463.79,2.8,42731.26
Christiansen-Danut-Eugen Sava,1.63,101.8,1.63,1640,12,0,107.7,1.38,1948,,478,7,5,36.71,35.34,0.97,158.21,-3.01,1.41,1.94,109.1,91.5,0,0,19.54,1248.89,0.95,25030.16
Ataberk Eren,2.04,101.7,2.04,2252,12,2.5,108.4,1.88,2249,,626,6,6,36.07,40.95,1.3,109.04,-3.01,1.82,2.25,116.6,86.8,1.5,1,24.42,1677.18,1.68,11889.94
Aizhan Sezdbekova,1.9,101.2,1.9,2036,9,5,114.6,1.75,1766,,375,6,3,46.77,60.13,1.62,215.25,-3.04,1.83,2.05,98,107.5,3,2,17.11,3615.67,2.61,46334.47
Eliza-Ioana Badescu,1.6,101,1.6,1568,12,0.5,124.2,1.02,1759,,528,6,6,45.09,46.2,1.21,191.09,-3.05,1.57,1.63,103.9,98.2,0.5,0,19.17,2134.47,1.46,36513.59
Elim Keneshbekov,1.76,100.7,1.76,2001,12,2,113.8,1.48,1941,,557,6,6,62.47,51.88,1.45,144.82,-3.06,2.27,1.25,83.6,117.8,1,1,21.11,2691.25,2.11,20974.03
Ngoc Hai-Dang Ho,1.76,100.6,1.76,1825,12,2,103.8,1.72,1850,,535,6,6,143.34,22.55,0.65,177.6,-3.07,2.06,1.46,94.9,106.3,2,0,21.16,508.36,0.43,31543.38
Atakan Eken,1.95,99.8,1.95,2107,11,2.5,92.9,1.97,2049,,515,6,5,55.88,36.6,1.1,136.04,-3.12,1.45,2.54,114.7,81.9,0.5,2,21.41,1339.28,1.21,18508.04
Zain Patel,1.87,99.8,1.87,1949,8,2.5,97.4,1.96,1991,,505,6,2,40.22,49.36,1.24,189.62,-3.11,2.36,0.38,80.6,157.7,1,1.5,14.94,2436.71,1.55,35957.02
Cristian Araya Fuentes,1.86,99.7,1.86,1780,12,5.5,104.2,1.62,1983,,532,6,6,231.92,51.86,1.5,194.03,-3.12,1.89,1.84,100.9,98.6,2.5,3,22.36,2689.41,2.24,37647.28
David George Samir,1.94,99.6,1.94,2121,12,3,123.9,1.44,2147,,585,6,6,34.4,47.81,1.19,147.57,-3.12,1.7,2.17,113.3,86,2,1,23.25,2285.66,1.42,21777.26
Kai Hanache,2,99.4,2,2099,10,3,114.8,1.38,2031,,577,5,5,23.83,67.74,1.76,107.96,-3.14,1.94,2.07,97.5,101.3,1,2,20.04,4589.2,3.08,11654.65
Jully Mutisya,1.78,99.2,1.78,1639,13,3,101.8,1.52,1663,,427,7,6,53.96,41.17,1.25,157.54,-3.15,1.64,1.94,105.1,92.4,2,1,23.12,1694.79,1.57,24817.99
Robert-Gabriel Sava,2.26,99,2.26,2374,12,4.5,114,1.76,2272,,717,5,7,57.94,59.78,1.66,143.51,-3.16,1.31,2.93,134.8,73.5,2.5,2,27.06,3573.65,2.74,20594.02
David Henriquez Garcia,1.77,98.4,1.77,1823,10,1,119.8,1.42,1905,,445,5,5,42.95,49.4,1.31,119.84,-3.19,1.76,1.78,95.6,101.3,0,1,17.73,2440.47,1.72,14362.26
Amoako_Philip_Selikem Yao,2.25,98.3,2.25,1762,10,7,117.3,1.87,1948,,452,5,5,60.22,63.63,1.67,146.71,-3.19,2.28,2.22,98.8,97.7,4,3,22.51,4048.69,2.78,21524.64
Madara Orlovska,2.07,97.7,2.07,2060,12,6,116.8,2.12,2058,,563,6,6,48.84,63.21,1.59,202.19,-3.23,2.05,2.09,101.6,93.8,3,3,24.83,3994.98,2.53,40882.21
Yihua Ding,1.63,97.3,1.63,1047,12,0,101.6,1.5,1536,,479,6,6,47.39,32.89,0.89,129.28,-3.25,1.81,1.44,90.5,104.1,0,0,19.56,1081.97,0.79,16713.01
Indy Southcott-Moyers,2.24,97,2.24,2289,12,6,102.4,2.37,2244,,614,6,6,33.16,55.13,1.56,75.14,-3.26,3.14,1.35,67.1,127,2.5,3.5,26.94,3039.83,2.42,5646.75
Leia Andries,1.8,96.6,1.8,1492,13,3,127.6,1.26,1838,,609,6,7,262.49,54.9,1.54,165.28,-3.28,2.3,1.38,75.8,114.5,0.5,2.5,23.42,3013.86,2.36,27316.32
Annmarie Muetsch,2.04,96,2.04,2114,12,3,105.4,1.98,2203,,507,6,6,37.26,45,1.38,97.97,-3.32,2,2.08,97.2,94.8,1,2,24.47,2025.22,1.91,9597.45
Simona Nayberg,2,95.4,2,1522,12,4,100.2,1.92,1807,,470,6,6,43.58,44.71,1.02,200.24,-3.35,1.82,2.18,101.4,89.4,2,2,24.01,1999.29,1.04,40096.13
Almos Kiran Marton-John,2.19,93.7,2.19,1789,13,8,118.5,1.97,1752,,692,6,7,232.77,71.32,1.81,144.62,-3.44,1.69,2.62,115.8,74.7,4.5,3.5,28.53,5086.52,3.28,20916.22
Julia Volovich,2.07,93.6,2.07,1975,10,4,106.6,1.63,1777,,449,6,4,108.94,68.15,1.85,195.83,-3.45,2.29,1.72,86.5,104.2,3,1,20.66,4643.84,3.41,38350.27
Suleiman Nurakyn,2.27,92.2,2.27,1777,15,8.5,109.8,2.25,2013,,786,8,7,34.05,65.69,1.64,157.6,-3.52,2.34,2.19,94.1,90.1,5,3.5,34.04,4315.27,2.69,24837.6
Marta Garcia Martin,2.22,88.8,2.22,1996,12,4.5,109.6,1.74,2239,,662,6,6,99.86,56.87,1.62,155.64,-3.71,2.66,1.79,77.3,100.3,3.5,1,26.68,3234.35,2.64,24224.43
Kushal Jakhria,2.38,86.6,2.38,2061,9,2,85.3,1.99,2041,,483,6,3,75.76,39.07,0.99,104.09,-3.83,2.28,2.59,90.6,78.6,1.5,0.5,21.46,1526.3,0.99,10835.74
Peter Heimbaecher,1.98,86.1,1.98,1440,10,0,87.5,1.98,1804,,396,5,5,221.38,29.79,0.83,223.54,-3.85,2.3,1.65,75.4,96.9,0,0,19.78,887.45,0.68,49968.11
Kamila Hryshchenko,2.52,83.1,2.52,2073,12,5.5,107.8,1.97,2109,,546,9,3,45.58,61.36,1.49,161.82,-4.02,2.76,1.82,71.8,116.9,3.5,2,30.26,3765.3,2.22,26185.08
