Player,avg_missed_points,avg_gi,avg_missed_points,TPR,total_game_count,Points,gi_median,missed_points_median,Elo,,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Peter T Roberson,1.05,138.2,1.05,2296,11,5,144,0.97,2330,,372,7,4,20.22,23.48,0.85,229.22,-1.05,0.79,1.5,146.2,124,4,1,11.56,551.3,0.72,52543.63
Nodirbek Yakubboev,1.13,138.1,1.13,2532,18,12.5,151,1.18,2563,,914,11,7,18.02,26.31,1.02,107.3,-1.05,0.87,1.54,143.4,129.8,8,4.5,20.32,692.11,1.03,11513.4
Maciej Czopor,0.97,138.1,0.97,2424,12,8,147.7,0.51,2382,,557,6,6,25.88,27.25,1.13,82.39,-1.05,1.25,0.7,130.7,145.5,4,4,11.67,742.29,1.27,6788.68
Alexey Sarana,1.17,137.8,1.17,2714,15,12.5,157.7,0.71,2699,,713,7,8,21.83,30.4,1.06,99.68,-1.06,1.12,1.22,136.7,138.8,5,7.5,17.62,924.43,1.12,9935.75
Li Wu,0.86,137.8,0.86,2363,10,4,149.5,0.43,2278,,362,4,6,19.86,31.44,1.19,147.6,-1.07,1.69,0.3,115.1,152.9,1,3,8.55,988.44,1.42,21785.13
Alexander Grischuk,1.15,137.7,1.15,2647,21,14.5,156.8,0.88,2683,,883,11,10,13,40.76,1.13,77.15,-1.07,1.28,1.01,135.9,139.7,7.5,7,24.17,1661.29,1.28,5951.82
Hikaru Nakamura,1.34,137.2,1.34,2803,15,12.5,148.2,1.26,2837,,782,8,7,25.74,30.81,1.02,90.7,-1.1,1.37,1.31,133.4,141.5,6.5,6,20.17,949.55,1.03,8226.8
Aldiyar Ansat,1.22,137,1.22,2455,16,9.5,154.7,0.98,2488,,746,10,6,21.38,26.75,0.96,123.59,-1.11,1.26,1.15,137.9,135.5,6.5,3,19.49,715.67,0.92,15273.29
Edgar Mamedov,1.06,137,1.06,2344,14,8,146.2,0.96,2404,,677,6,8,17.76,23.96,0.72,108.31,-1.11,1.2,0.95,137.1,136.9,4.5,3.5,14.77,574.31,0.52,11730.65
Benjamin Gledura,1.02,136.9,1.02,2509,17,9.5,136.1,0.8,2558,,727,8,9,20.47,30.77,0.92,68.09,-1.11,1.16,0.89,131.5,141.8,5.5,4,17.33,946.5,0.85,4635.87
Amilal Munkhdalai,1.1,136.7,1.1,2536,13,10,157.8,0.57,2341,,605,6,7,19.57,31.03,1.07,96.98,-1.13,1.38,0.87,129.7,142.7,4.5,5.5,14.36,963.03,1.15,9406.05
Olga Badelka,1.2,136.5,1.2,2196,12,8,143.1,1.18,2195,,567,6,8,31.74,25.12,0.83,125.75,-1.14,0.92,1.26,140.7,133.3,2.5,5.5,15.55,631.08,0.69,15813.73
David Anton Guijarro,1.11,136.5,1.11,2496,14,8,139.8,0.97,2543,,507,6,6,18.61,31.79,1,118.17,-1.14,0.63,1.27,143.3,129.6,3,3,11.36,1010.4,0.99,13964.72
Justin Tan,0.95,136.5,0.95,2439,12,6,148.6,0.65,2501,,511,6,6,53.56,21.5,0.44,138.7,-1.14,1.03,1.37,140.6,132.3,4,4,14.42,462.16,0.19,19236.88
