Player,avg_gi,avg_missed_points,TPR,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum
Isik Can,153.22,0.46,2607,7,157.1,0.42,2371,590,6,7,11.17,0.37,0.49,0.43,150.62,155.46,3,4
Andrey Esipenko,152.82,0.53,2686,8,160.5,0.28,2642,538,6,7,19.05,0.82,0.41,0.64,156.35,149.8,4,4
Jonas Buhl Bjerre,152.82,0.59,2632,8,158,0.57,2524,712,7,6,14.47,0.44,0.62,0.56,147.79,158.7,3,5
Jorden Van Foreest,152.68,0.47,2567,8,158.9,0.3,2651,526,6,7,14.14,0.37,0.44,0.5,154.67,150.97,4,4
Erigaisi Arjun,152.39,0.66,2773,9,160.3,0.55,2694,722,7,6,16.03,0.61,0.88,0.4,148.39,157.07,4.5,4.5
Bogdan-Daniel Deac,152.28,0.61,2687,7.5,159.5,0.2,2635,697,7,6,18.87,0.72,0.48,0.76,156.94,146.85,4.5,3
Brewington Hardaway,151.8,0.6,2601,7,156.7,0.6,2181,620,7,6,11.94,0.51,0.75,0.42,153.24,150.12,5.5,1.5
Brandon Jacobson,151.72,0.69,2744,8,155.1,0.73,2459,591,6,7,13.05,0.42,0.69,0.69,155.53,148.44,5,3
Volodar Murzin,151.27,0.85,2879,10,155.9,1.07,2588,695,7,6,18.76,0.89,0.68,1.04,154.91,147.02,5,5
Alexander Grischuk,151.15,0.66,2747,9.5,160.6,0.13,2675,575,7,6,19.19,0.81,0.95,0.33,148.96,153.7,6,3.5
Aryan Tari,150.39,0.56,2574,7.5,158.7,0.22,2559,648,7,6,20.68,0.79,0.63,0.49,148.84,152.2,4.5,3
Vasif Durarbayli,150.34,0.74,2711,8,151.3,0.73,2531,603,7,6,17.07,0.69,0.85,0.63,147.61,153.52,4,4
Alireza Firouzja,150.03,0.81,2738,9,155.4,0.63,2756,605,7,6,15.26,0.6,0.8,0.82,150.11,149.93,4.5,4.5
Andrei Volokitin,149.98,0.6,2557,7,157.7,0.58,2569,441,7,6,15.75,0.44,0.62,0.58,154.84,144.3,5.5,1.5
Hans Moke Niemann,149.66,0.8,2641,8.5,158,0.81,2618,701,6,7,13.04,0.4,0.84,0.76,149.83,149.51,4.5,4
Eltaj Safarli,149.29,0.56,2578,7.5,159.4,0.55,2611,536,7,6,13.52,0.41,0.52,0.61,153.19,144.75,5,2.5
Shant Sargsyan,148.78,0.86,2660,8,149.7,0.78,2601,636,7,6,17.9,0.71,0.59,1.19,155.69,140.72,4.5,3.5
Emin Ohanyan,148.15,0.66,2583,7,158,0.44,2295,755,6,7,16.81,0.64,0.59,0.71,152.43,144.47,4,3
Wesley So,148.09,0.61,2565,7,159.8,0.34,2739,606,6,7,21.91,0.79,0.9,0.36,139.1,155.8,3,4
Jan-Krzysztof Duda,147.21,0.77,2679,8,160.1,0.45,2740,677,7,6,24.43,0.88,0.86,0.67,145.83,148.82,5,3
Aram Hakobyan,147.11,0.8,2557,7.5,157.9,0.64,2513,617,7,6,19.83,0.68,0.66,0.96,153.29,139.9,5,2.5
Shakhriyar Mamedyarov,147.07,0.86,2697,8.5,159.3,0.77,2711,486,7,6,18.26,0.76,0.94,0.77,147.29,146.82,5.5,3
Praggnanandhaa R,147.05,0.75,2661,8.5,159.6,0.63,2688,691,6,7,18.51,0.59,0.51,0.96,154.22,140.91,5,3.5
V Pranav,146.94,0.83,2682,7.5,152,0.71,2497,625,7,6,21.16,0.7,0.61,1.1,154.09,138.6,5,2.5
Boris Gelfand,146.47,0.69,2585,8,159.2,0.12,2630,470,6,7,26.35,1.11,0.52,0.84,149.97,143.47,3.5,4.5
Fabiano Caruana,146.32,0.86,2693,8.5,153,0.73,2766,641,7,6,18.93,0.63,0.72,1.03,152.44,139.18,6,2.5
Sam Shankland,145.61,0.95,2627,7,145.8,0.86,2618,647,7,6,13.29,0.42,1.04,0.84,142.44,149.3,3.5,3.5
Quang Liem Le,145.21,0.81,2573,8,157.1,0.51,2657,657,7,6,32.49,0.96,1.18,0.39,137.71,153.95,5,3
Mikhail Al. Antipov,144.91,0.95,2666,8,154.1,0.75,2591,575,7,6,19.21,0.74,0.73,1.21,153.53,134.85,6,2
David Brodsky,144.83,0.75,2417,6.5,157.6,0.55,2491,607,7,6,21.28,0.7,0.64,0.87,149.79,139.05,5,1.5
Arseniy Nesterov,144.58,0.88,2620,7,156.7,0.78,2539,695,7,6,22.92,0.8,0.99,0.75,139.66,150.33,3,4
Ivan Cheparinov,144.28,0.69,2483,7,157.6,0.54,2638,639,7,6,18.93,0.63,0.29,1.14,156,130.6,5,2
Haik M. Martirosyan,143.89,0.81,2635,8,160.7,0.26,2609,693,7,6,31.1,1.05,0.99,0.61,137.41,151.45,4.5,3.5
Daniel Naroditsky,143.45,0.96,2617,7.5,149,1.03,2638,552,7,6,18.52,0.72,1.14,0.75,137.6,150.27,4,3.5
Kazybek Nogerbek,143.4,0.76,2514,6,145.6,0.6,2526,625,7,6,20.44,0.64,0.49,1.08,153.31,131.83,5,1
Semyon Lomasov,143.16,0.85,2501,6,157.7,0.7,2560,522,6,7,20.56,0.61,0.54,1.11,150.78,136.63,2.5,3.5
Rinat Jumabayev,142.61,1,2621,7,152,0.99,2503,632,7,6,21.84,0.85,0.74,1.3,145.93,138.73,3.5,3.5
Grigoriy Oparin,142.38,0.83,2518,7.5,156.6,0.53,2655,755,6,7,23.9,0.73,1.19,0.53,133.37,150.1,3.5,4
Semen Khanin,142.19,0.96,2578,7,150.9,0.75,2484,511,7,6,19.05,0.71,0.72,1.24,149.71,133.42,4,3
Rasmus Svane,142.05,0.93,2554,7,140.5,0.72,2629,805,6,7,19.74,0.61,0.95,0.91,135.75,147.44,2.5,4.5
Zaven Andriasian,142.01,0.89,2565,7,150.9,0.74,2624,635,6,7,27.08,0.89,0.86,0.92,145.32,139.17,4,3
Karen H. Grigoryan,141.84,1.01,2629,9,153.7,0.61,2622,670,6,7,30.3,1.1,1.26,0.8,133.2,149.24,4,5
Frederik Svane,141.83,0.88,2581,6,149.8,0.73,2455,665,6,7,26.77,0.97,0.62,1.11,154.32,131.13,4.5,1.5
Alexander Onischuk,141.71,0.67,2354,5,137.1,0.76,2668,515,6,7,15.85,0.43,0.56,0.77,147.83,136.46,4,1
Xiangzhi Bu,141.67,0.98,2606,7.5,157.8,0.65,2569,777,7,6,32.75,0.96,0.81,1.17,148.49,133.72,4.5,3
Jeffery Xiong,141.25,1.01,2571,8,142.3,0.92,2714,576,7,6,21.57,0.77,1.1,0.89,135.41,148.05,4,4
Nodirbek Abdusattorov,140.89,1.02,2689,8,158.4,0.69,2740,549,6,7,29.26,0.97,0.27,1.67,162.8,122.11,5.5,2.5
Georg Meier,140.63,0.95,2521,7.5,146.9,0.93,2624,622,6,7,20.15,0.64,0.85,1.04,140.55,140.7,3,4.5
Shiyam Thavandiran,140.61,0.82,2391,5,142,0.73,2405,577,6,6,18.69,0.48,0.72,0.92,143.17,138.05,3,2
Ehsan Ghaem Maghami,140.49,0.64,2234,3.5,153.2,0.61,2522,337,5,4,23.06,0.61,0.54,0.76,143.8,136.35,2,1.5
Daniel Dardha,140.49,0.99,2649,7.5,152.5,0.69,2554,722,7,6,30.09,0.97,1.08,0.9,137.43,144.07,4.5,3
Nikolas Theodorou,140.45,0.97,2603,8,158,0.61,2535,592,7,6,35.4,1.05,1.05,0.89,137.39,144.03,5,3
Olexandr Bortnyk,140.16,1.13,2632,8.5,142.4,1.13,2642,735,7,6,17.27,0.65,1.18,1.07,139.14,141.35,4.5,4
Nico Chasin,139.98,1.03,2591,7,143.4,0.83,2300,625,7,6,21.1,0.71,0.79,1.31,145.21,133.88,4,3
Arystan Isanzhulov,139.98,1.08,2587,6.5,145.1,1.02,2427,664,7,6,20.03,0.53,0.98,1.19,144.43,134.78,4,2.5
