Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Mikheil Kekelidze,137.8,0.87,63.24,5.0,2.5,137.1,0.68,2367,2286,221,2,3,35.33,21.98,0.81,81.04,-1.07,0.98,0.79,144.1,133.6,2.0,0.5,4.34,483.22,0.65,6567.83
Jegor Lashkin,137.7,0.84,93.04,8.0,5.0,156.0,0.8,2528,2345,415,5,3,19.9,31.63,0.81,122.23,-1.07,0.63,1.2,149.4,118.2,4.0,1.0,6.74,1000.42,0.66,14940.15
Ardin Bosboom,137.7,1.08,23.67,1.0,0.5,137.7,1.08,2122,2352,42,1,0,23.67,0.0,0.0,0.0,-1.07,1.08,,137.7,,0.5,0.0,1.08,0.0,0.0,0.0
Bilel Bellahcene,137.3,1.09,11.6,9.0,6.5,152.2,1.15,2506,2457,468,4,5,8.73,25.35,0.8,10.26,-1.09,1.79,0.52,117.0,153.6,2.5,4.0,9.79,642.65,0.64,105.34
Koppany Geher,137.0,0.84,23.36,4.0,1.0,140.3,0.74,2244,2271,162,2,2,24.28,20.48,0.41,10.59,-1.11,0.94,0.74,127.0,147.1,0.0,1.0,3.37,419.5,0.17,112.22
Petr Hollan,136.4,0.7,22.14,2.0,0.0,136.4,0.7,2248,2204,82,2,0,22.14,7.92,0.12,9.63,-1.14,0.7,,136.4,,0.0,0.0,1.41,62.72,0.01,92.75
Ivan Travis Cu,136.2,0.96,4.35,5.0,1.5,132.8,0.88,2286,2310,299,2,3,8.69,9.91,0.25,26.4,-1.15,1.01,0.92,132.4,138.7,0.5,1.0,4.79,98.17,0.06,696.99
Eelke De Boer,136.2,0.9,61.62,8.0,4.5,143.4,0.84,2412,2354,310,5,3,24.07,23.74,0.87,87.37,-1.15,1.01,0.72,137.4,134.3,4.0,0.5,7.19,563.38,0.76,7633.95
Jakob Weihrauch,136.1,1.14,13.11,2.0,1.0,136.1,1.14,2291,2405,78,1,1,13.11,17.39,0.52,0.1,-1.16,1.5,0.77,123.8,148.4,0.5,0.5,2.27,302.58,0.27,0.01
Mykyta Volkov,136.0,0.65,107.66,2.0,1.0,136.0,0.65,2331,2263,104,1,1,107.66,31.32,1.03,121.64,-1.16,1.38,-0.08,113.8,158.1,0.0,1.0,1.3,981.25,1.07,14797.16
Alexei Shirov,135.9,0.98,78.21,9.0,5.5,157.0,0.83,2650,2318,382,5,4,16.54,32.8,0.9,101.74,-1.17,0.86,1.12,143.1,127.0,4.0,1.5,8.78,1076.09,0.8,10351.7
Daniel Kopylov,135.7,0.85,50.42,7.0,3.5,135.0,0.64,2431,2237,270,4,3,14.4,24.52,0.77,99.47,-1.18,0.62,1.16,141.5,128.0,2.5,1.0,5.96,601.42,0.6,9894.25
Bennet Hagner,135.6,0.85,43.9,7.0,3.5,157.6,0.39,2430,2243,282,2,5,12.52,30.51,0.9,81.32,-1.19,0.98,0.79,143.4,132.5,1.5,2.0,5.93,930.85,0.81,6612.41
Megan Althea Paragua,135.5,0.84,89.22,3.0,1.0,129.4,1.15,2199,2269,107,2,1,11.67,20.98,0.71,137.42,-1.19,0.59,1.35,138.6,129.4,0.5,0.5,2.53,440.3,0.51,18883.73
Virgilio Vuelban,135.5,0.74,25.68,2.0,0.0,135.5,0.74,2244,2181,56,1,1,25.68,4.95,0.27,1.92,-1.19,0.93,0.55,132.0,139.0,0.0,0.0,1.48,24.5,0.07,3.7
Rick Frischmann,135.4,0.74,23.02,2.0,0.0,135.4,0.74,2331,2242,90,1,1,23.02,13.01,0.33,5.18,-1.19,0.51,0.97,144.6,126.2,0.0,0.0,1.48,169.28,0.11,26.79
Vasanth Toure,135.3,0.66,168.85,1.0,0.0,135.3,0.66,2162,2195,62,1,0,168.85,0.0,0.0,0.0,-1.2,0.66,,135.3,,0.0,0.0,0.66,0.0,0.0,0.0
Daniel Lippert,135.2,0.67,28.67,1.0,0.0,135.2,0.67,2211,2232,33,1,0,28.67,0.0,0.0,0.0,-1.21,0.67,,135.2,,0.0,0.0,0.67,0.0,0.0,0.0
Torben Knuedel,134.9,0.94,112.03,3.0,1.0,124.6,0.98,2300,2327,117,0,3,28.02,20.76,0.27,160.66,-1.22,,0.94,,134.9,0.0,1.0,2.81,431.13,0.07,25812.39
Sebastian Reimann,134.7,1.1,35.16,3.0,1.0,128.7,1.2,2346,2308,95,3,0,38.33,20.62,0.24,6.59,-1.23,1.1,,134.7,,1.0,0.0,3.29,425.3,0.06,43.48
Stefan Joeres,134.6,0.76,98.97,2.0,0.5,134.6,0.76,2266,2219,68,1,1,98.97,34.44,0.94,124.88,-1.24,1.42,0.09,110.2,158.9,0.0,0.5,1.51,1185.84,0.88,15593.78
