Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Parva Behzad Nazif,134.87,1.18,74.87,7,4.5,137,1.1,2092,2184,337,6,1,21.24,23.99,0.56,107.63,-1.22,1.26,0.7,132.32,150.2,4,0.5,8.23,575.46,-1.11,1.67,1.29,0.31,11583.48
Nodira Nadirjanova,134.4,1.29,25.21,7,6,138.2,1.15,2059,2513,390,4,3,14.74,29.45,0.93,29.77,-1.25,1.18,1.44,142.9,123.07,4,2,9.06,867.08,-1.05,2.52,1.59,0.86,886.42
Lara Schulze,132.37,1.03,46.32,7,4.5,157.7,0.83,2283,2204,247,4,3,14.68,35.1,0.82,86.22,-1.36,1.18,0.82,129.25,136.53,2.5,2,7.18,1232.31,0.01,3.58,1.89,0.68,7434.45
Hayale Isgenderova,130.97,1.16,29,7,3.5,133.1,1.22,2124,2064,271,3,4,31.27,27.83,0.65,14.92,-1.43,1.18,1.15,128.3,132.98,1,2.5,8.14,774.74,-1.32,2.26,1.5,0.42,222.74
Yerisbel Miranda Llanes,129.34,1.35,49.67,7,4,138.3,1.42,2294,2146,434,5,2,22.06,30.92,0.8,77.71,-1.52,1.45,1.1,123.1,144.95,2.5,1.5,9.42,955.94,-1.04,2.78,1.67,0.64,6039.57
Maria Belen Sarquis,128.91,1.36,150.85,7,4.5,134.1,1.49,2172,2154,329,4,3,49.03,22.86,0.49,193.17,-1.54,1.31,1.43,137.3,117.73,3.5,1,9.53,522.69,-1.26,1.53,1.24,0.24,37315.24
Giulia Sala,127.33,1.32,21.6,7,4.5,135,1.1,2115,2151,353,2,5,18.45,32.03,1.07,14.31,-1.63,1.73,1.15,130.5,126.06,2,2.5,9.23,1026.12,-1.22,2.98,1.73,1.15,204.64
Gergana Peycheva,125.89,1.2,16.84,7,4,135.2,0.63,2248,2071,398,3,4,18.81,40.06,1.23,8.71,-1.71,1.97,0.62,98.83,146.18,2,2,8.39,1604.58,-1.21,4.66,2.16,1.52,75.8
Inna Agrest,125.63,1.06,167.02,7,3,133.2,0.75,2197,2127,375,4,3,149.71,35.02,0.79,167.96,-1.72,1.12,0.98,121.25,131.47,1,2,7.43,1226.28,-1.31,3.56,1.89,0.62,28208.89
Deysi Cori T.,125.61,1.11,62.21,7,2,137.8,0.65,2366,2180,299,4,3,23.58,29.99,0.83,95.15,-1.72,0.49,1.94,148.18,95.53,1.5,0.5,7.77,899.21,-1.07,2.62,1.62,0.68,9052.75
Kubra Ozturk Orenli,125.24,1.23,80.27,7,3,122.9,1.02,2262,2114,299,3,4,28.3,32.25,0.88,96.97,-1.74,0.76,1.58,138.07,115.62,1,2,8.61,1039.97,-1.87,3.02,1.74,0.77,9402.96
Mitra Hejazipour,125.11,1.39,71.28,7,3.5,131.4,1.23,2327,2216,313,3,4,18.95,35.14,0.96,96.38,-1.75,1.23,1.52,126.23,124.28,1,2.5,9.75,1235.1,-1.41,3.59,1.9,0.92,9289.75
Niina Koskela,123.57,1.23,49.78,7,3,131.9,1.42,2173,2028,416,3,4,20.42,32.85,0.8,81.31,-1.83,1.41,1.09,119.3,126.78,2,1,8.61,1078.86,-1.38,3.13,1.77,0.64,6611.15
Margareth Olde,122.64,1.22,55.53,7,3,150,0.72,2135,2144,379,3,4,13.65,52.73,1.49,75.57,-1.88,1.08,1.33,125.43,120.55,0.5,2.5,8.56,2780.3,-0.41,8.08,2.84,2.23,5710.19
Ilze Berzina,122.64,1.26,34.07,7,3.5,131.5,0.8,2200,2152,301,4,3,19.43,53.88,1.31,43.46,-1.88,1.69,0.69,106.72,143.87,1.5,2,8.85,2902.86,-1.4,8.44,2.9,1.71,1888.37
Oksana Golubeva,120.81,1.51,54.34,7,5,128.1,1.8,2119,2214,437,4,3,14.02,37.1,1.17,99.53,-1.98,1.18,1.96,135.8,100.83,4,1,10.6,1376.73,-1.59,4,2,1.36,9905.25
Alessia-Mihaela Ciolacu,120.49,1.33,22.92,7,2.5,134.9,1.41,2160,2026,297,4,3,23.3,31.15,0.75,8.75,-2,1.67,0.89,107.62,137.63,1.5,1,9.33,970.05,-1.22,2.82,1.68,0.56,76.52
Agnesa Stepania Ter-Avetisjana,114.63,1.88,93.34,7,5,130.8,1.73,2134,2207,385,2,5,62.42,53.51,1.22,83.73,-2.31,1.79,1.92,120.15,112.42,1.5,3.5,13.16,2863.36,-1.44,8.31,2.88,1.49,7010.5
