Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Gunnar Lund,139.7,0.87,11.14,9.0,4.5,140.5,0.69,2332,2417,470,5,4,6.76,25.15,0.59,10.38,-0.96,0.56,1.25,155.7,119.6,4.0,0.5,7.82,632.34,0.35,107.68
Harald B Borchgrevink,139.4,0.8,14.78,5.0,2.0,150.4,0.55,2256,2203,174,2,3,10.59,25.06,0.6,8.89,-0.98,0.92,0.73,124.6,149.3,0.0,2.0,4.02,627.91,0.36,78.96
Jonas Gryte,139.0,0.51,24.79,1.0,0.0,139.0,0.51,1814,1961,29,0,1,24.79,0.0,0.0,0.0,-1.0,,0.51,,139.0,0.0,0.0,0.51,0.0,0.0,0.0
Gudmund Stenersen,138.9,0.9,17.14,3.0,1.5,147.6,0.77,2136,2085,122,3,0,10.51,24.29,0.35,12.73,-1.0,0.9,,138.9,,1.5,0.0,2.69,589.94,0.12,162.05
Jacob Templen Grave,138.5,1.03,11.99,9.0,6.5,152.8,0.9,2331,2364,436,3,6,11.37,27.62,0.83,7.57,-1.03,1.55,0.77,126.3,144.6,2.0,4.5,9.26,762.91,0.69,57.27
Bjarke Sahl,138.4,0.88,11.21,9.0,4.0,142.0,0.97,2237,2312,439,4,5,10.59,21.1,0.64,8.89,-1.03,0.54,1.16,146.6,131.9,1.5,2.5,7.96,445.22,0.41,79.08
Martin Oksendal,138.3,0.75,13.89,9.0,2.0,135.4,0.85,2253,2209,426,4,5,16.11,12.54,0.33,8.12,-1.04,0.66,0.82,147.2,131.2,2.0,0.0,6.71,157.24,0.11,66.01
Kenneth Gvein,138.1,0.91,15.65,7.0,4.0,139.6,0.78,2143,2248,298,3,4,15.66,24.08,0.56,5.5,-1.05,0.75,1.03,145.6,132.5,2.5,1.5,6.37,579.87,0.31,30.29
Kim Roger Hansen Westrum,137.8,0.92,15.55,6.0,3.5,134.1,0.9,2198,2334,253,4,2,13.84,18.43,0.81,10.65,-1.07,1.22,0.32,133.2,146.9,3.0,0.5,5.54,339.62,0.66,113.46
Marin Bosiocic,137.2,0.98,15.59,6.0,3.0,134.4,1.1,2556,2300,280,2,4,13.32,20.03,0.26,7.83,-1.1,0.96,0.99,153.2,129.1,2.0,1.0,5.87,401.31,0.07,61.27
