Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Oleg Verbytski,143.2,1.22,45.77,9,4.0,132.3,1.54,2001,2179,460,4,5,12.69,21.49,0.85,93.82,-0.77,1.12,1.3,146.2,140.9,2.0,2.0,10.96,462.03,0.71,8802.31
Tanmay Chopra,142.6,0.98,147.87,3,0.5,147.4,0.55,2357,1845,134,1,2,143.25,19.9,0.88,139.79,-0.81,0.55,1.19,147.4,140.2,0.0,0.5,2.93,395.82,0.78,19540.48
Owen Crawford,142.4,1.24,79.46,6,2.5,142.5,1.31,2125,2101,292,3,3,21.3,19.93,0.72,113.12,-0.82,1.04,1.44,150.7,134.0,2.0,0.5,7.42,397.28,0.52,12795.54
Lion Lebedev,142.4,1.17,19.09,7,2.5,140.4,0.92,2048,2058,347,4,3,22.97,22.28,1.1,11.74,-0.82,1.8,0.34,128.9,160.5,1.0,1.5,8.21,496.32,1.2,137.79
Marek Korsinskij,142.3,1.16,89.4,9,3.0,142.6,0.89,1727,2001,359,5,4,46.84,20.9,1.2,132.32,-0.82,0.88,1.5,145.0,139.0,1.0,2.0,10.4,436.62,1.44,17508.6
Declan Shafi,142.1,1.28,58.61,9,4.0,136.1,1.3,2183,2075,368,5,4,29.79,15.98,0.64,101.7,-0.84,0.99,1.64,150.3,131.7,3.0,1.0,11.52,255.29,0.41,10342.25
Kamila Hryshchenko,140.6,1.24,59.77,9,3.0,140.1,1.19,2097,1976,369,4,5,31.97,12.67,0.49,92.31,-0.91,1.06,1.4,149.6,133.5,2.5,0.5,11.2,160.65,0.24,8520.36
Senith Thenula Gunarathne,140.5,1.19,146.12,9,2.5,143.5,1.13,1918,1963,464,4,5,175.36,11.77,0.67,104.95,-0.92,0.87,1.45,148.4,134.3,1.5,1.0,10.74,138.46,0.45,11014.07
Trisha Kanyamarala,140.4,1.29,122.31,7,2.5,137.8,1.38,2178,2050,369,4,3,28.85,15.89,0.67,183.5,-0.93,1.35,1.2,141.9,138.4,2.0,0.5,9.0,252.36,0.44,33673.98
Luke Anthony Honey,139.3,1.32,83.68,9,3.0,142.7,0.8,2082,1933,375,4,5,18.91,26.02,1.33,221.81,-0.98,1.29,1.34,136.0,142.0,0.5,2.5,11.86,676.88,1.77,49199.55
