Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Sauat Nurgaliyev,136.71,0.99,90.92,9,4.0,142.0,0.94,2374.0,2372.0,470,5,4,13.79,25.98,0.68,124.25,-1.12,0.93,1.06,130.42,144.57,1.0,3.0,8.91,675.01,-0.84,1.97,1.4,0.47,15438.62
Arian Baradaran Tamadon,136.38,0.86,132.75,9,3.0,137.8,0.89,2334.0,2232.0,379,4,5,25.94,14.83,0.47,186.81,-1.14,0.82,0.9,139.75,133.68,2.0,1.0,7.75,219.93,-1.07,0.64,0.8,0.22,34896.48
Omran Al Hosani,135.86,1.03,14.23,9,4.0,132.6,1.01,2239.0,2438.0,400,4,5,18.3,16.03,0.48,6.19,-1.17,1.22,0.87,134.85,136.66,2.0,2.0,9.23,257.02,-1.34,0.75,0.86,0.23,38.3
Bharadia Yash,135.6,0.92,94.1,9,3.5,138.8,0.61,2385.0,2342.0,416,4,5,14.72,27.56,1.06,138.03,-1.18,0.59,1.18,145.68,127.54,2.5,1.0,8.28,759.49,-1.01,2.21,1.49,1.12,19051.37
Ortik Nigmatov,135.57,1.21,27.17,9,5.5,141.5,1.16,2447.0,2523.0,577,5,4,17.19,22.64,0.76,33.89,-1.19,1.2,1.21,136.0,135.02,3.5,2.0,10.85,512.7,-0.87,1.49,1.22,0.58,1148.78
Sugar Gan-Erdene,135.48,0.97,23.97,9,4.5,144.7,1.05,2437.0,2462.0,408,5,4,23.93,33.68,1.06,15.44,-1.19,1.19,0.71,131.5,140.45,4.0,0.5,8.77,1134.41,-0.69,3.3,1.82,1.13,238.53
Le Thao Nguyen Pham,135.22,1.06,38.25,9,4.5,137.6,0.76,2384.0,2421.0,413,5,4,17.51,21.13,0.76,61.89,-1.2,1.19,0.91,133.72,137.1,3.5,1.0,9.56,446.41,-1.08,1.3,1.14,0.57,3830.81
Panda Sambit,134.39,1.04,77.06,9,4.5,141.2,0.83,2381.0,2441.0,427,4,5,35.17,25.78,0.69,85.14,-1.25,1.04,1.03,134.9,133.98,2.5,2.0,9.35,664.82,-0.88,1.93,1.39,0.47,7248.02
Reza Mahdavi,133.97,1.23,56.18,9,5.0,139.5,1.58,2394.0,2579.0,406,5,4,17.58,31.41,0.91,93.44,-1.27,0.83,1.73,148.66,115.6,3.5,1.5,11.1,986.54,-0.97,2.86,1.69,0.82,8731.1
Batkhuyag Munguntuul,133.71,0.88,99.0,9,2.5,138.0,0.61,2342.0,2203.0,344,4,5,27.93,24.82,0.8,139.75,-1.29,0.91,0.85,135.0,132.68,1.5,1.0,7.9,616.24,-1.06,1.79,1.34,0.64,19530.66
Seyed Abolfazl Moosavifar,133.69,1.01,62.59,9,4.0,135.8,0.64,2308.0,2366.0,448,5,4,26.47,28.78,0.83,93.38,-1.29,1.5,0.39,117.9,153.43,1.5,2.5,9.08,828.11,-1.17,2.41,1.55,0.68,8719.48
Bhagat Kush,133.44,1.04,45.59,9,4.0,149.5,0.82,2288.0,2313.0,404,5,4,17.05,31.84,0.74,89.4,-1.3,1.01,1.08,137.52,128.35,2.5,1.5,9.38,1013.64,-0.44,2.95,1.72,0.55,7992.63
Mohamed Tissir,132.63,0.89,19.79,9,2.5,136.7,0.73,2342.0,2238.0,378,4,5,19.98,26.71,0.74,14.54,-1.35,0.52,1.2,147.45,120.78,1.5,1.0,8.05,713.51,-1.13,2.07,1.44,0.55,211.42
V Pranav,132.54,1.37,16.56,9,6.0,139.8,1.17,2621.0,2562.0,520,4,5,13.93,29.88,0.96,11.62,-1.35,1.77,1.04,124.75,138.78,3.0,3.0,12.29,893.08,-0.96,2.6,1.61,0.93,134.99
Sriansh Das,132.43,0.96,67.59,9,3.0,126.8,0.9,2315.0,2264.0,314,4,5,25.72,19.27,0.62,141.12,-1.35,0.55,1.29,146.65,121.06,2.0,1.0,8.62,371.26,-1.66,1.07,1.04,0.39,19914.99
Priansh Das,132.1,0.99,67.26,9,3.0,131.2,1.06,2311.0,2274.0,365,4,5,18.81,16.05,0.44,98.73,-1.37,0.96,1.02,135.18,129.64,2.0,1.0,8.94,257.68,-1.42,0.75,0.86,0.19,9746.65
B. Adhiban,131.92,1.1,14.42,9,5.0,137.8,0.8,2535.0,2508.0,424,5,4,15.4,37.42,1.2,7.89,-1.38,0.79,1.48,139.76,122.12,2.0,3.0,9.88,1400.58,-1.07,4.08,2.02,1.44,62.22
Ankit Ray,131.84,0.99,16.78,9,3.0,146.2,0.86,2320.0,2288.0,379,4,5,16.97,31.49,0.83,10.65,-1.39,0.85,1.1,143.57,122.46,2.0,1.0,8.92,991.36,-0.61,2.89,1.7,0.69,113.32
Adireddy Arjun,131.73,0.93,76.51,9,2.5,131.7,0.84,2336.0,2211.0,504,5,4,26.0,25.05,0.65,98.64,-1.39,1.23,0.56,121.14,144.98,1.0,1.5,8.39,627.43,-1.39,1.82,1.35,0.42,9729.51
Akram Khoder,131.47,1.08,16.29,9,3.5,128.6,1.19,2232.0,2339.0,476,5,4,17.47,16.91,0.52,7.87,-1.41,1.02,1.16,131.48,131.45,2.0,1.5,9.72,285.95,-1.56,0.83,0.91,0.27,61.94
Josefine Heinemann,131.22,1.11,36.97,9,3.5,127.8,1.15,2305.0,2321.0,463,4,5,17.23,19.07,0.49,62.64,-1.42,1.23,1.02,131.43,131.06,2.0,1.5,9.99,363.58,-1.6,1.06,1.03,0.24,3924.33
Jani_Kushal R,130.32,1.19,41.69,9,4.5,138.4,0.81,2326.0,2406.0,506,4,5,15.85,28.24,0.85,83.74,-1.47,1.4,1.02,127.78,132.36,3.0,1.5,10.72,797.23,-1.03,2.32,1.52,0.73,7012.76
Meruert Kamalidenova,129.99,1.27,72.43,9,4.5,130.3,1.28,2378.0,2333.0,403,5,4,24.95,26.25,0.64,111.35,-1.49,1.45,1.05,126.06,134.9,2.5,2.0,11.46,688.95,-1.47,2.01,1.42,0.41,12399.26
Almas Rakhmatullaev,129.26,1.14,24.84,9,4.5,139.2,0.9,2410.0,2342.0,531,5,4,12.22,30.78,0.96,91.38,-1.53,0.53,1.91,150.96,102.12,3.5,1.0,10.3,947.2,-0.99,2.75,1.66,0.92,8350.01
